winner,wastedvotes,wastedprop (%),green,red,blue,purple,yellow
yellow,9446.0,31.486666666666668,73.0,30.0,75.0,44.0,78.0
yellow,11488.0,38.29333333333334,97.0,29.0,38.0,29.0,107.0
green,9893.0,32.97666666666667,91.0,26.0,71.0,39.0,73.0
green,10506.0,35.02,108.0,20.0,67.0,10.0,95.0
green,9981.0,33.269999999999996,105.0,29.0,73.0,9.0,84.0
green,11737.0,39.123333333333335,105.0,58.0,21.0,23.0,93.0
yellow,12510.0,41.699999999999996,92.0,61.0,10.0,14.0,123.0
yellow,9472.0,31.57333333333333,69.0,37.0,85.0,14.0,95.0
yellow,11212.0,37.37333333333333,67.0,48.0,48.0,7.0,130.0
green,11247.0,37.49,122.0,19.0,43.0,30.0,86.0
yellow,11151.0,37.169999999999995,77.0,63.0,41.0,9.0,110.0
yellow,9447.0,31.490000000000002,62.0,49.0,82.0,6.0,101.0
yellow,11027.0,36.75666666666667,86.0,63.0,32.0,25.0,94.0
blue,8412.0,28.04,73.0,24.0,112.0,21.0,70.0
green,10561.0,35.20333333333333,84.0,44.0,36.0,54.0,82.0
green,11162.0,37.20666666666666,96.0,14.0,37.0,69.0,84.0
green,10848.0,36.16,105.0,35.0,46.0,28.0,86.0
green,10573.0,35.24333333333333,101.0,37.0,59.0,15.0,88.0
yellow,10878.0,36.26,87.0,25.0,52.0,27.0,109.0
yellow,10885.0,36.28333333333333,87.0,11.0,37.0,65.0,100.0
green,10832.0,36.10666666666666,101.0,20.0,52.0,29.0,98.0
yellow,10905.0,36.35,89.0,42.0,49.0,28.0,92.0
green,10481.0,34.93666666666667,119.0,44.0,60.0,11.0,66.0
green,9913.0,33.04333333333334,90.0,63.0,56.0,31.0,60.0
green,10328.0,34.42666666666667,106.0,29.0,65.0,20.0,80.0
yellow,10366.0,34.553333333333335,78.0,26.0,55.0,45.0,96.0
yellow,9929.0,33.09666666666667,75.0,13.0,68.0,39.0,105.0
yellow,10215.0,34.050000000000004,86.0,56.0,65.0,5.0,88.0
yellow,9940.0,33.13333333333333,82.0,28.0,66.0,41.0,83.0
green,9707.0,32.35666666666667,86.0,20.0,73.0,48.0,73.0
yellow,10374.0,34.58,82.0,48.0,63.0,10.0,97.0
yellow,11343.0,37.81,95.0,32.0,48.0,9.0,116.0
yellow,9878.0,32.92666666666666,83.0,23.0,65.0,43.0,86.0
blue,9005.0,30.01666666666667,62.0,33.0,84.0,45.0,76.0
yellow,10774.0,35.913333333333334,84.0,26.0,47.0,47.0,96.0
green,10982.0,36.60666666666666,99.0,17.0,48.0,41.0,95.0
yellow,9496.0,31.653333333333332,74.0,27.0,84.0,15.0,100.0
yellow,8955.0,29.849999999999998,57.0,18.0,89.0,33.0,103.0
green,9388.0,31.293333333333333,85.0,36.0,77.0,30.0,72.0
green,10323.0,34.410000000000004,100.0,36.0,51.0,38.0,75.0
yellow,10067.0,33.556666666666665,79.0,22.0,70.0,22.0,107.0
yellow,9619.0,32.06333333333333,70.0,36.0,74.0,31.0,89.0
green,11304.0,37.68,116.0,37.0,34.0,37.0,76.0
green,9528.0,31.759999999999998,85.0,23.0,83.0,28.0,81.0
blue,9631.0,32.10333333333333,80.0,29.0,82.0,29.0,80.0
green,10415.0,34.71666666666667,104.0,26.0,64.0,18.0,88.0
green,9521.0,31.736666666666668,99.0,20.0,76.0,46.0,59.0
green,10276.0,34.25333333333334,91.0,41.0,64.0,16.0,88.0
blue,9351.0,31.169999999999998,85.0,14.0,87.0,49.0,65.0
green,10928.0,36.42666666666667,113.0,12.0,45.0,56.0,74.0
yellow,10691.0,35.63666666666666,84.0,38.0,55.0,15.0,108.0
green,10884.0,36.28,113.0,43.0,47.0,22.0,75.0
green,9399.0,31.330000000000002,109.0,30.0,86.0,13.0,62.0
green,10225.0,34.08333333333333,101.0,18.0,64.0,28.0,89.0
green,10369.0,34.56333333333333,123.0,6.0,71.0,22.0,78.0
yellow,9843.0,32.81,83.0,34.0,71.0,28.0,84.0
yellow,9892.0,32.97333333333333,84.0,40.0,79.0,8.0,89.0
yellow,9752.0,32.50666666666667,71.0,45.0,74.0,22.0,88.0
green,11709.0,39.03,103.0,66.0,31.0,6.0,94.0
green,10861.0,36.20333333333333,99.0,21.0,56.0,32.0,92.0
yellow,10234.0,34.11333333333334,79.0,22.0,63.0,40.0,96.0
green,11105.0,37.016666666666666,92.0,47.0,31.0,44.0,86.0
yellow,9741.0,32.47,84.0,32.0,81.0,10.0,93.0
yellow,10930.0,36.43333333333334,94.0,30.0,39.0,41.0,96.0
yellow,10835.0,36.11666666666667,62.0,35.0,44.0,42.0,117.0
yellow,11759.0,39.196666666666665,96.0,27.0,30.0,40.0,107.0
yellow,10441.0,34.80333333333333,101.0,13.0,66.0,2.0,118.0
green,10774.0,35.913333333333334,90.0,39.0,39.0,60.0,72.0
green,10689.0,35.63,115.0,22.0,44.0,51.0,68.0
yellow,10467.0,34.89,86.0,22.0,59.0,31.0,102.0
green,10710.0,35.699999999999996,100.0,19.0,56.0,29.0,96.0
green,10600.0,35.333333333333336,105.0,20.0,56.0,39.0,80.0
green,10103.0,33.67666666666666,97.0,31.0,62.0,32.0,78.0
yellow,11957.0,39.85666666666667,94.0,33.0,30.0,26.0,117.0
yellow,9738.0,32.46,64.0,41.0,76.0,10.0,109.0
green,10350.0,34.5,98.0,10.0,57.0,66.0,69.0
yellow,10064.0,33.54666666666667,82.0,30.0,63.0,35.0,90.0
green,11483.0,38.276666666666664,99.0,11.0,34.0,61.0,95.0
green,10202.0,34.00666666666667,117.0,7.0,73.0,30.0,73.0
green,10878.0,36.26,99.0,11.0,56.0,36.0,98.0
yellow,10543.0,35.14333333333333,78.0,26.0,55.0,46.0,95.0
green,10800.0,36.0,104.0,35.0,57.0,13.0,91.0
green,10757.0,35.85666666666666,91.0,40.0,42.0,38.0,89.0
green,9927.0,33.09,96.0,14.0,76.0,44.0,70.0
