winner,wastedvotes,wastedprop (%),green,red,blue,purple,yellow
blue,4038.0,13.459999999999999,19.0,27.0,183.0,37.0,34.0
blue,3958.0,13.193333333333335,30.0,28.0,190.0,25.0,27.0
blue,4576.0,15.253333333333332,30.0,22.0,181.0,20.0,47.0
blue,3820.0,12.733333333333333,33.0,26.0,201.0,13.0,27.0
blue,3766.0,12.553333333333333,19.0,37.0,198.0,16.0,30.0
blue,5080.0,16.933333333333334,44.0,17.0,168.0,32.0,38.0
blue,4008.0,13.36,37.0,26.0,190.0,24.0,23.0
blue,4539.0,15.129999999999999,30.0,7.0,169.0,62.0,32.0
blue,4043.0,13.476666666666667,31.0,27.0,185.0,34.0,23.0
blue,4930.0,16.433333333333334,39.0,29.0,177.0,11.0,44.0
blue,4060.0,13.533333333333333,21.0,46.0,177.0,39.0,17.0
blue,3699.0,12.33,21.0,23.0,199.0,27.0,30.0
blue,4838.0,16.126666666666665,45.0,26.0,170.0,28.0,31.0
blue,5390.0,17.96666666666667,47.0,53.0,148.0,22.0,29.0
blue,3839.0,12.796666666666667,24.0,51.0,177.0,27.0,21.0
blue,4365.0,14.549999999999999,31.0,18.0,181.0,34.0,36.0
blue,4211.0,14.036666666666667,29.0,20.0,188.0,29.0,34.0
blue,4014.0,13.38,25.0,34.0,182.0,30.0,29.0
blue,4199.0,13.996666666666666,28.0,36.0,174.0,37.0,25.0
blue,3688.0,12.293333333333333,24.0,23.0,193.0,36.0,24.0
blue,3497.0,11.656666666666666,23.0,21.0,206.0,25.0,25.0
blue,3531.0,11.77,25.0,19.0,201.0,31.0,24.0
blue,3393.0,11.31,15.0,28.0,188.0,49.0,20.0
blue,3250.0,10.833333333333334,25.0,22.0,206.0,26.0,21.0
blue,3816.0,12.72,23.0,51.0,178.0,25.0,23.0
blue,4105.0,13.683333333333334,21.0,35.0,185.0,21.0,38.0
blue,4458.0,14.860000000000001,47.0,9.0,181.0,39.0,24.0
blue,3889.0,12.963333333333333,35.0,25.0,199.0,9.0,32.0
blue,4472.0,14.906666666666665,38.0,28.0,184.0,18.0,32.0
blue,5251.0,17.503333333333334,37.0,46.0,153.0,28.0,36.0
blue,4289.0,14.296666666666665,29.0,26.0,181.0,27.0,37.0
blue,4026.0,13.420000000000002,25.0,29.0,193.0,21.0,32.0
blue,4533.0,15.110000000000001,26.0,61.0,162.0,27.0,24.0
blue,4022.0,13.406666666666666,28.0,29.0,190.0,26.0,27.0
blue,3826.0,12.753333333333334,25.0,18.0,202.0,18.0,37.0
blue,3998.0,13.326666666666668,30.0,45.0,190.0,14.0,21.0
blue,3521.0,11.736666666666666,29.0,19.0,199.0,26.0,27.0
blue,3366.0,11.219999999999999,25.0,22.0,208.0,17.0,28.0
blue,3572.0,11.906666666666666,23.0,23.0,192.0,39.0,22.0
blue,4627.0,15.423333333333334,28.0,45.0,171.0,18.0,37.0
blue,3174.0,10.58,25.0,12.0,214.0,32.0,17.0
blue,3971.0,13.236666666666666,23.0,25.0,189.0,28.0,35.0
blue,4369.0,14.563333333333334,31.0,30.0,190.0,9.0,40.0
blue,3902.0,13.006666666666666,35.0,30.0,176.0,42.0,17.0
blue,4700.0,15.666666666666668,39.0,29.0,168.0,33.0,31.0
blue,3665.0,12.216666666666667,25.0,30.0,190.0,27.0,28.0
blue,3346.0,11.153333333333332,19.0,33.0,204.0,21.0,23.0
