winner,wastedvotes,wastedprop (%),green,red,blue,purple,yellow
purple,12299.0,40.99666666666666,14.0,,25.0,250.0,11.0
green,5659.0,18.863333333333333,193.0,1.0,98.0,7.0,1.0
purple,9233.0,30.776666666666667,147.0,,,152.0,1.0
green,8288.0,27.626666666666665,261.0,31.0,,5.0,3.0
red,7803.0,26.009999999999998,,142.0,27.0,125.0,6.0
yellow,10236.0,34.12,64.0,65.0,1.0,26.0,144.0
purple,10900.0,36.333333333333336,42.0,,,258.0,
yellow,12352.0,41.17333333333333,,1.0,8.0,4.0,287.0
red,12658.0,42.193333333333335,6.0,266.0,1.0,27.0,
purple,7475.0,24.916666666666668,,,4.0,203.0,93.0
yellow,10970.0,36.56666666666666,97.0,4.0,16.0,,183.0
green,9172.0,30.573333333333334,240.0,5.0,,47.0,8.0
green,11092.0,36.973333333333336,244.0,3.0,,2.0,51.0
purple,9201.0,30.669999999999998,90.0,2.0,,208.0,
green,8837.0,29.456666666666663,278.0,3.0,19.0,,
yellow,4862.0,16.206666666666667,56.0,,,13.0,231.0
red,4435.0,14.783333333333335,,290.0,,,10.0
purple,6177.0,20.59,,,78.0,222.0,
purple,9659.0,32.196666666666665,22.0,56.0,97.0,125.0,
blue,4763.0,15.876666666666667,,,207.0,,93.0
red,10615.0,35.38333333333333,6.0,256.0,11.0,,27.0
purple,10471.0,34.90333333333333,,12.0,32.0,128.0,128.0
yellow,6320.0,21.066666666666666,29.0,,8.0,,263.0
yellow,5945.0,19.816666666666666,,,,,300.0
purple,1267.0,4.223333333333333,,6.0,,289.0,5.0
red,3054.0,10.18,,228.0,71.0,,1.0
yellow,11277.0,37.59,17.0,,61.0,1.0,221.0
purple,8667.0,28.89,,5.0,2.0,293.0,
blue,10033.0,33.443333333333335,,,185.0,12.0,103.0
green,8754.0,29.18,203.0,19.0,26.0,45.0,7.0
yellow,6644.0,22.14666666666667,2.0,82.0,,6.0,210.0
blue,11506.0,38.35333333333333,2.0,62.0,224.0,12.0,
purple,6234.0,20.78,127.0,2.0,8.0,163.0,
purple,10390.0,34.63333333333333,,6.0,31.0,149.0,114.0
red,9562.0,31.87333333333333,4.0,270.0,5.0,21.0,
red,8498.0,28.326666666666668,126.0,157.0,15.0,2.0,
yellow,4785.0,15.950000000000001,6.0,,1.0,7.0,286.0
yellow,6884.0,22.94666666666667,,1.0,10.0,4.0,285.0
green,9848.0,32.82666666666667,189.0,104.0,7.0,,
blue,10355.0,34.516666666666666,15.0,21.0,218.0,46.0,
blue,6602.0,22.006666666666668,86.0,,211.0,3.0,
red,11945.0,39.81666666666667,2.0,279.0,1.0,18.0,
yellow,9039.0,30.130000000000003,119.0,1.0,29.0,1.0,150.0
purple,10117.0,33.723333333333336,22.0,6.0,37.0,229.0,6.0
purple,9215.0,30.716666666666665,26.0,38.0,,236.0,
red,8241.0,27.47,,285.0,,,15.0
purple,2609.0,8.696666666666667,,,2.0,298.0,
blue,11376.0,37.92,9.0,4.0,284.0,1.0,2.0
yellow,10406.0,34.68666666666667,28.0,,6.0,78.0,188.0
blue,10428.0,34.760000000000005,6.0,71.0,104.0,100.0,19.0
red,9228.0,30.759999999999998,,294.0,,4.0,2.0
green,1039.0,3.4633333333333334,290.0,,,,10.0
purple,8187.0,27.29,5.0,118.0,,177.0,
green,7619.0,25.39666666666667,138.0,5.0,128.0,,29.0
purple,9166.0,30.55333333333333,39.0,41.0,,218.0,2.0
green,12302.0,41.00666666666667,202.0,59.0,6.0,4.0,29.0
green,9108.0,30.36,262.0,20.0,,18.0,
green,8518.0,28.39333333333333,199.0,30.0,,71.0,
purple,6562.0,21.873333333333335,,103.0,3.0,190.0,4.0
red,5650.0,18.833333333333332,16.0,217.0,,66.0,1.0
purple,3906.0,13.020000000000001,,7.0,76.0,217.0,
blue,8750.0,29.166666666666668,15.0,81.0,143.0,,61.0
red,8330.0,27.766666666666666,20.0,148.0,18.0,,114.0
red,11546.0,38.48666666666667,12.0,208.0,,9.0,71.0
red,6518.0,21.726666666666667,,299.0,1.0,,
purple,1888.0,6.293333333333333,,,2.0,298.0,
red,8426.0,28.086666666666666,,208.0,1.0,90.0,1.0
purple,11065.0,36.88333333333333,44.0,96.0,2.0,140.0,18.0
purple,7964.0,26.546666666666667,,2.0,80.0,218.0,
yellow,4729.0,15.763333333333332,12.0,,127.0,,161.0
red,8783.0,29.276666666666667,2.0,226.0,61.0,9.0,2.0
blue,6006.0,20.02,,,149.0,143.0,8.0
purple,10518.0,35.06,51.0,73.0,22.0,148.0,6.0
red,7730.0,25.766666666666666,,294.0,,3.0,3.0
purple,5137.0,17.12333333333333,1.0,,,299.0,
blue,11923.0,39.74333333333334,70.0,5.0,201.0,23.0,1.0
purple,5334.0,17.78,,,4.0,282.0,14.0
red,7517.0,25.056666666666665,45.0,126.0,3.0,,126.0
green,5942.0,19.80666666666667,279.0,6.0,,4.0,11.0
purple,956.0,3.186666666666667,1.0,,,299.0,
yellow,5220.0,17.4,2.0,1.0,,,297.0
green,7903.0,26.343333333333334,193.0,,7.0,91.0,9.0
red,12458.0,41.52666666666667,28.0,181.0,19.0,10.0,62.0
red,8120.0,27.066666666666666,,141.0,,133.0,26.0
yellow,5650.0,18.833333333333332,,1.0,,,299.0
red,12709.0,42.36333333333333,18.0,252.0,3.0,3.0,24.0
green,6957.0,23.189999999999998,226.0,3.0,1.0,5.0,65.0
blue,5064.0,16.88,40.0,1.0,259.0,,
green,8919.0,29.73,107.0,,4.0,83.0,106.0
red,9301.0,31.003333333333334,6.0,214.0,,80.0,
yellow,4438.0,14.793333333333333,9.0,12.0,,3.0,276.0
