winner,wastedvotes,wastedprop (%),green,red,blue,purple,yellow
green,6468.0,21.560000000000002,296.0,4.0,,,
yellow,6108.0,20.36,,11.0,,29.0,260.0
green,6035.0,20.116666666666667,292.0,8.0,,,
blue,2808.0,9.36,1.0,,299.0,,
blue,9046.0,30.153333333333332,1.0,105.0,188.0,5.0,1.0
blue,3714.0,12.379999999999999,,,291.0,,9.0
purple,9866.0,32.88666666666666,39.0,93.0,46.0,119.0,3.0
yellow,5952.0,19.84,,,,107.0,193.0
yellow,6246.0,20.82,,,,,300.0
purple,6079.0,20.263333333333332,,,,300.0,
purple,8179.0,27.263333333333335,16.0,54.0,4.0,226.0,
blue,7120.0,23.733333333333334,12.0,39.0,223.0,26.0,
blue,7473.0,24.91,,,168.0,,132.0
yellow,8646.0,28.82,110.0,2.0,,26.0,162.0
yellow,7306.0,24.35333333333333,,70.0,1.0,22.0,207.0
yellow,6095.0,20.316666666666666,,,1.0,,299.0
blue,3725.0,12.416666666666666,,,275.0,,25.0
blue,5366.0,17.886666666666667,,,298.0,2.0,
green,7823.0,26.076666666666664,202.0,6.0,2.0,,90.0
blue,9295.0,30.983333333333334,,93.0,112.0,93.0,2.0
blue,5560.0,18.53333333333333,,,297.0,,3.0
green,7026.0,23.419999999999998,274.0,,26.0,,
red,1591.0,5.303333333333334,,300.0,,,
yellow,7877.0,26.256666666666668,,27.0,,,273.0
green,3862.0,12.873333333333333,189.0,,111.0,,
blue,7599.0,25.330000000000002,1.0,20.0,177.0,,102.0
blue,5200.0,17.333333333333336,94.0,,203.0,,3.0
green,6911.0,23.036666666666665,265.0,,30.0,,5.0
purple,5327.0,17.756666666666668,,,,300.0,
blue,7387.0,24.623333333333335,,,272.0,28.0,
yellow,9181.0,30.60333333333333,36.0,16.0,58.0,,190.0
green,7382.0,24.606666666666666,226.0,9.0,,,65.0
yellow,4746.0,15.82,,,1.0,,299.0
green,8001.0,26.669999999999998,291.0,,1.0,8.0,
red,6387.0,21.29,,240.0,,,60.0
blue,6317.0,21.05666666666667,17.0,,283.0,,
green,7592.0,25.306666666666665,163.0,137.0,,,
red,7305.0,24.349999999999998,,147.0,29.0,,124.0
blue,7601.0,25.33666666666667,15.0,,176.0,108.0,1.0
yellow,7945.0,26.48333333333333,84.0,,,61.0,155.0
red,5011.0,16.703333333333333,,300.0,,,
red,7924.0,26.413333333333334,53.0,243.0,,,4.0
yellow,6544.0,21.813333333333336,2.0,1.0,,,297.0
purple,10085.0,33.61666666666667,,81.0,,186.0,33.0
green,2103.0,7.01,300.0,,,,
blue,9201.0,30.669999999999998,1.0,,210.0,89.0,
yellow,6892.0,22.973333333333336,,,102.0,,198.0
blue,1868.0,6.226666666666667,,2.0,298.0,,
yellow,6737.0,22.456666666666667,,,2.0,,298.0
yellow,2058.0,6.859999999999999,,,,,300.0
blue,6912.0,23.04,,1.0,275.0,1.0,23.0
yellow,5887.0,19.623333333333335,,,112.0,,188.0
blue,6138.0,20.46,,,206.0,94.0,
blue,6171.0,20.57,,,299.0,,1.0
blue,9316.0,31.053333333333335,,13.0,184.0,31.0,72.0
purple,8308.0,27.69333333333333,60.0,25.0,,208.0,7.0
yellow,4175.0,13.916666666666666,1.0,,,,299.0
green,9550.0,31.833333333333336,124.0,102.0,42.0,1.0,31.0
red,6940.0,23.133333333333333,12.0,288.0,,,
purple,2384.0,7.946666666666667,,,30.0,268.0,2.0
red,3164.0,10.546666666666667,,284.0,16.0,,
red,8528.0,28.426666666666666,6.0,155.0,137.0,,2.0
blue,8194.0,27.313333333333333,19.0,,257.0,24.0,
purple,5260.0,17.533333333333335,,,3.0,297.0,
red,7598.0,25.326666666666664,1.0,168.0,35.0,,96.0
red,5766.0,19.220000000000002,87.0,210.0,,3.0,
green,9695.0,32.31666666666666,154.0,2.0,32.0,91.0,21.0
green,2332.0,7.773333333333333,300.0,,,,
red,6174.0,20.580000000000002,,281.0,16.0,,3.0
yellow,5909.0,19.69666666666667,,,,1.0,299.0
red,5093.0,16.976666666666667,124.0,176.0,,,
purple,7106.0,23.686666666666667,3.0,,2.0,178.0,117.0
blue,5423.0,18.076666666666664,2.0,,284.0,14.0,
purple,4373.0,14.576666666666666,,,,300.0,
green,6297.0,20.990000000000002,296.0,4.0,,,
blue,6897.0,22.99,,139.0,160.0,,1.0
green,9182.0,30.606666666666666,207.0,,6.0,1.0,86.0
yellow,5307.0,17.69,,,,,300.0
green,5767.0,19.223333333333333,272.0,28.0,,,
red,4360.0,14.533333333333335,2.0,295.0,,3.0,
yellow,6910.0,23.033333333333335,,2.0,,62.0,236.0
purple,5265.0,17.549999999999997,,,,181.0,119.0
purple,3335.0,11.116666666666667,47.0,,,253.0,
blue,5563.0,18.543333333333333,25.0,,275.0,,
green,9078.0,30.259999999999998,294.0,6.0,,,
yellow,5851.0,19.503333333333334,,83.0,2.0,,215.0
red,10297.0,34.32333333333333,67.0,78.0,51.0,52.0,52.0
yellow,7715.0,25.716666666666665,16.0,,1.0,,283.0
red,6864.0,22.88,12.0,280.0,,8.0,
blue,8135.0,27.116666666666667,14.0,,286.0,,
yellow,5418.0,18.060000000000002,,,,,300.0
green,6820.0,22.733333333333334,300.0,,,,
red,5983.0,19.94333333333333,,298.0,2.0,,
red,3316.0,11.053333333333333,,300.0,,,
blue,9203.0,30.67666666666667,11.0,28.0,234.0,24.0,3.0
green,10469.0,34.89666666666666,143.0,,37.0,3.0,117.0
purple,5790.0,19.3,1.0,,,299.0,
blue,10504.0,35.013333333333335,12.0,57.0,161.0,69.0,1.0
green,7977.0,26.590000000000003,150.0,4.0,144.0,,2.0
yellow,8514.0,28.38,,,,57.0,243.0
green,7911.0,26.369999999999997,197.0,,102.0,,1.0
green,4945.0,16.483333333333334,295.0,,5.0,,
yellow,6313.0,21.043333333333333,,,70.0,,230.0
green,4779.0,15.93,195.0,,,105.0,
red,4844.0,16.14666666666667,,179.0,120.0,1.0,
red,7099.0,23.663333333333334,44.0,231.0,,20.0,5.0
purple,6078.0,20.26,50.0,,,250.0,
purple,4068.0,13.56,102.0,,,198.0,
yellow,6405.0,21.349999999999998,37.0,,,,263.0
yellow,9498.0,31.66,,115.0,2.0,1.0,182.0
green,6387.0,21.29,213.0,,86.0,,1.0
green,2404.0,8.013333333333334,300.0,,,,
red,1707.0,5.6899999999999995,,300.0,,,
red,8663.0,28.87666666666667,,169.0,,105.0,26.0
red,4662.0,15.540000000000001,,300.0,,,
yellow,8044.0,26.813333333333333,,,,91.0,209.0
red,8342.0,27.80666666666667,7.0,242.0,,51.0,
red,6917.0,23.05666666666667,15.0,285.0,,,
yellow,4884.0,16.28,,15.0,,,285.0
red,3857.0,12.856666666666666,,299.0,,1.0,
green,7974.0,26.58,296.0,,,4.0,
yellow,7572.0,25.240000000000002,1.0,,78.0,1.0,220.0
blue,2898.0,9.66,,,296.0,,4.0
blue,2260.0,7.533333333333333,,,300.0,,
red,5617.0,18.723333333333333,,182.0,,,118.0
yellow,8383.0,27.94333333333333,,,4.0,122.0,174.0
blue,5585.0,18.616666666666667,,91.0,208.0,,1.0
red,6015.0,20.05,,277.0,,23.0,
purple,6284.0,20.946666666666665,,,9.0,291.0,
red,7778.0,25.926666666666666,,169.0,,130.0,1.0
yellow,4818.0,16.06,,,3.0,1.0,296.0
green,8555.0,28.51666666666667,170.0,19.0,,83.0,28.0
red,6759.0,22.53,,277.0,7.0,,16.0
purple,6806.0,22.686666666666667,89.0,,,211.0,
red,7632.0,25.44,41.0,247.0,,,12.0
red,3397.0,11.323333333333334,,300.0,,,
yellow,1933.0,6.4433333333333325,,,,,300.0
blue,8985.0,29.95,1.0,137.0,161.0,,1.0
red,3554.0,11.846666666666666,,300.0,,,
red,7148.0,23.826666666666664,4.0,290.0,,,6.0
yellow,6746.0,22.486666666666665,,13.0,,1.0,286.0
red,6184.0,20.613333333333333,,300.0,,,
green,4782.0,15.939999999999998,208.0,,,53.0,39.0
purple,5684.0,18.946666666666665,,,1.0,299.0,
purple,10414.0,34.71333333333334,25.0,24.0,,245.0,6.0
blue,6407.0,21.356666666666666,,,169.0,,131.0
red,8662.0,28.873333333333335,102.0,109.0,88.0,,1.0
yellow,5736.0,19.12,,,28.0,,272.0
green,7684.0,25.613333333333333,271.0,2.0,27.0,,
blue,7242.0,24.14,,,295.0,,5.0
yellow,7405.0,24.683333333333334,,,,36.0,264.0
blue,9331.0,31.10333333333333,,1.0,256.0,,43.0
yellow,4341.0,14.469999999999999,,,1.0,,299.0
blue,6179.0,20.596666666666668,,,254.0,46.0,
yellow,7890.0,26.3,1.0,76.0,,,223.0
red,7962.0,26.540000000000003,,255.0,,,45.0
purple,8924.0,29.746666666666666,47.0,2.0,,165.0,86.0
green,4458.0,14.860000000000001,297.0,,,3.0,
green,5524.0,18.413333333333334,298.0,,1.0,1.0,
blue,10173.0,33.910000000000004,128.0,,170.0,1.0,1.0
purple,6435.0,21.45,,,1.0,299.0,
red,8207.0,27.35666666666667,,146.0,96.0,,58.0
purple,8375.0,27.916666666666668,,9.0,1.0,162.0,128.0
red,5272.0,17.573333333333334,10.0,271.0,19.0,,
purple,9588.0,31.96,,67.0,56.0,176.0,1.0
